City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Qui Nhon,VN,78.28,overcast clouds,13.7667,109.2333,Seagull Hotel
409,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
411,Griffith,US,84.13,clear sky,41.5284,-87.4237,Apartment above Depot Bar
412,Sept-Iles,CA,75.2,broken clouds,50.2001,-66.3821,Comfort Inn
413,Trairi,BR,77.79,clear sky,-3.2778,-39.2689,janelas do mar
414,Summerside,CA,75.33,few clouds,46.3959,-63.7876,Summerside Motel & Cottages
417,Deming,US,80.49,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
422,Lalgudi,IN,80.92,mist,10.8667,78.8333,Tamash hotel
424,Mahon,ES,72.16,few clouds,39.8885,4.2658,ARTIEM Capri
426,Yidu,CN,77.29,scattered clouds,24.1614,115.1328,Longtan Travel Rest House
428,High Prairie,CA,86.74,broken clouds,55.4334,-116.4858,Royal Star Motor Inn
429,Alpena,US,76.1,overcast clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
430,Sam Chuk,TH,79.77,overcast clouds,14.7576,100.0899,Samchuk Resort
432,Banjar,ID,72.05,few clouds,-8.19,114.9675,The Hamsa Resort
436,Porto Nacional,BR,86.0,clear sky,-10.7081,-48.4172,Vila Real Hotel
438,Elko,US,81.73,scattered clouds,41.0002,-115.5012,
439,Gunjur,GM,78.87,light rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
441,Poum,NC,71.38,overcast clouds,-20.2333,164.0167,
442,Avera,US,77.05,overcast clouds,33.194,-82.5271,
443,Marathon,US,72.64,overcast clouds,44.9,-89.7668,
444,Astoria,US,72.43,broken clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
446,Majene,ID,76.84,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
447,Sidi Ali,DZ,75.88,clear sky,36.0998,0.4206,Khaled
448,Kamaishi,JP,71.1,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
449,Lorinci,HU,74.75,overcast clouds,47.7329,19.6787,Horgásztanya Lőrinci 73
452,Baoning,CN,78.66,broken clouds,25.3378,110.026,
453,Mogadishu,SO,75.83,overcast clouds,2.0371,45.3438,Hotel Juba
456,Dickinson,US,82.94,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
459,Halifax,CA,74.44,broken clouds,44.6453,-63.5724,Hotel Halifax
461,Bengkulu,ID,75.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
462,Tukums,LV,70.95,overcast clouds,56.9669,23.1553,Tukuma Ledus Halle
464,Dalbandin,PK,83.68,overcast clouds,28.8947,64.4101,Sanjrani House
467,Bontang,ID,77.54,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
468,Vieux-Habitants,GP,81.97,clear sky,16.0589,-61.7659,Habitation GETZ
469,Evans,US,77.38,mist,33.5337,-82.1307,Evans hide out
471,Gizo,SB,83.03,broken clouds,-8.103,156.8419,Imagination Island
475,Lufkin,US,86.32,broken clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
476,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
477,Kieta,PG,83.7,clear sky,-6.2167,155.6333,Uruna Bay Retreat
480,Shimoda,JP,77.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
485,Birao,CF,71.69,overcast clouds,10.2849,22.7882,
486,Tadine,NC,71.28,overcast clouds,-21.55,167.8833,
488,Keti Bandar,PK,80.87,overcast clouds,24.1447,67.4497,Haji laloo memon house
489,Khipro,PK,79.81,overcast clouds,25.8285,69.3772,Wali M Dars Hottle
490,Huron,US,81.66,broken clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
491,Salvador,SV,83.05,broken clouds,13.8333,-88.9167,Chico's Ranch
493,Manggar,ID,80.87,overcast clouds,-2.8833,108.2667,Guest Hotel
494,Sakaiminato,JP,84.18,broken clouds,35.55,133.2333,Italian pasley
495,Jining,CN,73.92,broken clouds,35.405,116.5814,Yunhe Star Hotel
