City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Camacha,PT,33.0833,-16.3333,69.22,64,75,8.05,broken clouds
313,Sao Filipe,CV,14.8961,-24.4956,77.77,81,87,6.26,overcast clouds
314,Bac Lieu,VN,9.285,105.7244,79.7,84,100,9.06,overcast clouds
315,Puerto Penasco,MX,31.3167,-113.5333,85.91,80,89,7.0,overcast clouds
316,Ilhabela,BR,-23.7781,-45.3581,58.73,78,100,5.39,overcast clouds
317,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,17.27,scattered clouds
318,Port-Gentil,GA,-0.7193,8.7815,75.06,88,15,14.67,few clouds
319,Kudahuvadhoo,MV,2.6708,72.8944,80.96,74,98,5.1,overcast clouds
320,Georgetown,MY,5.4112,100.3354,81.9,90,20,2.3,few clouds
321,Auki,SB,-8.7676,160.7034,84.22,67,33,7.74,very heavy rain
322,Tapejara,BR,-28.0681,-52.0139,38.5,80,5,4.61,clear sky
323,Safaga,EG,26.7292,33.9365,88.29,38,1,8.12,clear sky
324,Faanui,PF,-16.4833,-151.75,78.76,74,97,13.62,overcast clouds
325,Sungai Padi,TH,6.0851,101.8766,76.82,96,98,2.89,overcast clouds
326,Huilong,CN,31.8111,121.655,83.71,82,100,9.06,overcast clouds
327,Okha,RU,53.5739,142.9478,54.45,96,100,19.93,light rain
328,Nizhniy Baskunchak,RU,48.2198,46.8311,75.4,17,100,26.06,overcast clouds
329,Hit,IQ,33.6416,42.8251,93.97,19,23,9.28,few clouds
330,Abaete,BR,-19.16,-45.4458,74.55,35,0,2.35,clear sky
331,Chapulhuacan,MX,21.1667,-98.9,81.16,48,52,5.35,broken clouds
332,Ahmadpur East,PK,29.1431,71.2598,82.51,70,95,4.14,overcast clouds
333,Piacabucu,BR,-10.4056,-36.4344,71.96,70,12,8.3,few clouds
334,Norman Wells,CA,65.282,-126.8329,68.04,52,100,3.44,smoke
335,Logan,US,41.7355,-111.8344,84.06,43,20,4.0,light rain
336,Santa Barbara,US,34.7333,-120.0343,92.34,32,0,12.66,clear sky
337,Groningen,NL,53.25,6.75,67.03,95,20,3.44,few clouds
338,Caraguatay,AR,-26.6059,-54.7809,44.01,80,0,2.73,clear sky
339,Coihaique,CL,-45.5752,-72.0662,48.15,76,75,6.91,broken clouds
340,Touros,BR,-5.1989,-35.4608,76.08,73,17,18.37,few clouds
341,Souillac,MU,-20.5167,57.5167,71.98,78,75,17.27,broken clouds
342,Morogoro,TZ,-6.8167,37.6667,64.26,88,0,2.42,clear sky
343,Gamba,GA,-2.65,10.0,71.67,91,34,8.43,scattered clouds
344,Marfino,RU,55.7028,37.3822,68.34,42,0,13.42,clear sky
